"filename", "language", "Markdown", "Python", "HTML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/hooks/useConversations.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 2, 1, 7
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/hooks/useProjects.ts", "TypeScript", 0, 0, 0, 266, 0, 0, 32, 41, 339
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/types/index.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 7, 4, 37
"/Users/yanwen/Documents/github/sunnyagent/infra/migrations/versions/004_create_projects_table.py", "Python", 0, 50, 0, 0, 0, 0, 17, 14, 81
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/checklists/requirements.md", "Markdown", 43, 0, 0, 0, 0, 0, 0, 14, 57
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/contracts/projects_api.py", "Python", 0, 46, 0, 0, 0, 0, 297, 39, 382
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/data-model.md", "Markdown", 195, 0, 0, 0, 0, 0, 0, 55, 250
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/plan.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 28, 136
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/prototype.html", "HTML", 0, 0, 1479, 0, 0, 0, 23, 194, 1696
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/quickstart.md", "Markdown", 181, 0, 0, 0, 0, 0, 0, 81, 262
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/research.md", "Markdown", 121, 0, 0, 0, 0, 0, 0, 40, 161
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/spec.md", "Markdown", 120, 0, 0, 0, 0, 0, 0, 47, 167
"/Users/yanwen/Documents/github/sunnyagent/specs/006-project-management/tasks.md", "Markdown", 163, 0, 0, 0, 0, 0, 0, 73, 236
"Total", "-", 956, 1514, 1479, 545, 1052, 730, 848, 1226, 8350
